,freight_value,payment_installments,payment_value,review_score,days_to_delivery,delivery_days b/(w),review_response_days,freight_percent,late,repeat?
27490,15.56,1,45.46,4,-24,0,4,0.34227892652881653,1,1
44614,14.03,2,263.93,5,-28,23,3,0.05315803432728375,1,1
22872,11.3,1,60.7,5,-9,40,214,0.18616144975288304,1,1
46801,14.73,3,69.63,5,-26,28,1,0.21154674709177082,1,1
17528,28.97,5,126.12,1,-43,12,31,0.2297018712337456,1,1
28395,19.07,3,61.06,5,-18,42,1,0.3123157549950868,1,1
60745,10.96,1,41.93,4,-8,45,6,0.26138802766515623,1,1
49789,13.71,10,207.22,4,-13,40,2,0.06616156741627256,1,1
100239,20.09,10,420.08,3,-18,48,6,0.04782422395734146,1,1
93182,16.75,6,256.65,5,-8,44,0,0.06526397818040133,1,1
115376,9.07,5,92.97,5,-7,45,1,0.09755835215660966,1,1
63719,14.59,4,44.49,5,-8,45,2,0.32793886266576755,1,1
18424,10.96,2,22.86,5,-8,43,1,0.47944006999125116,1,1
82015,14.11,10,129.03,5,-18,34,1,0.10935441370223978,1,1
91047,11.8,5,51.79,5,-17,48,2,0.2278432129754779,1,1
87551,8.72,1,19.62,5,-5,21,1,0.4444444444444445,1,1
109315,8.72,1,19.62,5,-7,20,1,0.4444444444444445,1,1
85709,8.72,1,19.62,5,-13,26,0,0.4444444444444445,1,1
26226,8.72,1,11.62,5,-12,27,1,0.7504302925989674,1,1
56518,8.72,1,16.62,5,-12,27,1,0.5246690734055355,1,1
49532,8.72,1,18.62,5,-13,26,2,0.4683136412459721,1,1
95508,8.72,1,19.62,5,-12,15,0,0.4444444444444445,1,1
94725,8.72,1,19.62,5,-13,14,5,0.4444444444444445,1,1
111545,8.72,1,18.62,5,-13,26,0,0.4683136412459721,1,1
5454,8.72,1,15.62,5,-12,27,0,0.558258642765685,1,1
101575,8.72,1,18.62,5,-12,27,1,0.4683136412459721,1,1
12671,8.72,1,18.62,5,-12,27,0,0.4683136412459721,1,1
21886,8.72,1,18.62,5,-13,26,5,0.4683136412459721,1,1
28185,8.72,1,19.62,5,-12,27,0,0.4444444444444445,1,1
14942,8.72,1,18.62,5,-13,26,4,0.4683136412459721,1,1
63945,8.72,1,18.62,5,-13,26,0,0.4683136412459721,1,1
71589,8.72,1,19.62,5,-12,15,0,0.4444444444444445,1,1
93545,8.72,1,19.62,5,-13,14,0,0.4444444444444445,1,1
100119,8.72,1,19.62,5,-12,27,0,0.4444444444444445,1,1
10990,8.72,1,18.62,5,-12,27,0,0.4683136412459721,1,1
32608,8.72,1,15.62,5,-13,26,0,0.558258642765685,1,1
53994,8.72,1,18.62,5,-11,27,0,0.4683136412459721,1,1
54323,15.07,1,144.07,5,-6,22,1,0.10460192961754704,1,1
103379,10.96,3,35.86,3,-10,20,1,0.305633017289459,1,1
109621,10.96,4,40.86,3,-10,30,1,0.2682329906999511,1,1
100405,16.05,5,54.95,5,-16,27,1,0.29208371246587805,1,1
84481,19.33,1,169.23,5,-13,31,0,0.11422324646930213,1,1
114319,19.33,1,169.23,5,-11,21,0,0.11422324646930213,1,1
79362,13.28,1,452.72,5,-9,19,6,0.02933380455910938,1,1
103896,10.96,1,56.86,5,-9,42,6,0.19275413295814284,1,1
71962,17.22,1,4.82,4,-22,21,1,3.572614107883817,1,1
67040,15.56,1,3.44,5,-13,30,1,4.523255813953488,1,1
85114,20.67,4,45.57,5,-13,30,0,0.4535878867676103,1,1
17060,10.96,1,107.58,4,-9,32,1,0.10187767242981968,1,1
57133,22.62,2,121.62,1,-12,36,0,0.18598914652195364,1,1
43217,14.52,1,44.02,1,-63,-25,0,0.3298500681508405,0,1
87297,11.24,1,101.14,5,-8,19,1,0.1111330828554479,1,1
107042,16.75,10,480.46,5,-4,34,1,0.03486242351080215,1,1
51159,17.2,4,167.1,5,-14,34,5,0.10293237582286056,1,1
2965,11.95,4,91.85,5,-8,33,5,0.1301034295046271,1,1
66713,16.05,1,65.05,5,-8,34,3,0.24673328209069947,1,1
79382,21.15,4,371.05,5,-12,43,1,0.05700040425818622,1,1
53244,19.09,5,134.99,5,-32,2,0,0.14141788280613377,1,1
114807,14.52,1,60.41,4,-19,21,0,0.24035755669591127,1,1
49965,11.74,1,51.64,5,-6,35,1,0.2273431448489543,1,1
103982,9.62,1,109.4,1,-10,49,0,0.08793418647166361,1,1
19353,26.94,6,93.84,5,-9,28,3,0.2870843989769821,1,1
102811,16.05,3,35.95,5,-5,40,3,0.44645340751043117,1,1
106614,36.16,4,256.06,2,-23,21,1,0.14121690228852612,1,1
90473,41.26,4,467.09,2,-19,33,1,0.08833415401742704,1,1
105395,14.52,1,64.42,3,-8,20,1,0.22539583980130393,1,1
38017,10.96,1,104.3,1,-8,28,0,0.10508149568552254,1,1
64040,10.96,1,30.96,5,-6,29,0,0.35400516795865633,1,1
103772,29.93,1,179.83,5,-13,28,2,0.16643496635711505,1,1
40255,10.96,1,33.05,5,-7,29,0,0.3316187594553707,1,1
5839,18.2,6,128.2,5,-12,63,5,0.1419656786271451,1,1
39825,22.02,6,131.4,5,-13,34,5,0.16757990867579908,1,1
103418,15.82,1,204.72,5,-11,44,6,0.07727627979679562,1,1
61624,16.05,1,60.65,5,-13,28,6,0.2646331409727947,1,1
40167,15.7,1,85.6,5,-12,29,3,0.18341121495327103,1,1
12920,17.88,8,82.88,5,-13,21,1,0.21573359073359075,1,1
88649,21.92,3,251.82,4,-11,23,3,0.08704630291478041,1,1
77577,14.18,1,74.18,5,-6,32,1,0.19115664599622537,1,1
39495,25.19,1,125.09,2,-46,3,3,0.2013750099928052,1,1
85236,3.39,8,206.65,4,-19,60,2,0.01640454875393177,1,1
18401,18.0,8,467.99,4,-7,31,2,0.03846236030684416,1,1
5803,18.0,1,107.9,5,-4,43,1,0.16682113067655235,1,1
74389,9.0,5,78.0,3,-13,25,1,0.11538461538461539,1,1
54813,50.0,6,59.99,5,-3,54,1,0.833472245374229,1,1
52212,18.0,1,82.9,4,-10,36,0,0.21712907117008443,1,1
114739,18.0,4,257.9,5,-10,28,0,0.06979449398991858,1,1
12116,18.0,1,87.9,4,-8,38,6,0.20477815699658702,1,1
67159,18.0,1,87.9,4,-10,36,4,0.20477815699658702,1,1
69591,18.0,8,107.99,5,-9,26,3,0.16668210019446245,1,1
40917,9.0,8,171.8,5,-9,34,3,0.052386495925494755,1,1
36391,50.0,5,70.9,4,-10,46,2,0.7052186177715091,1,1
51703,18.0,10,297.99,3,-11,37,3,0.06040471156750226,1,1
41279,18.0,1,64.22,4,-9,26,4,0.2802865151043289,1,1
70102,22.0,1,125.99,4,-10,35,4,0.17461703309786492,1,1
80209,16.05,1,65.05,5,-9,31,3,0.24673328209069947,1,1
60162,15.09,8,145.92,1,-14,22,1,0.10341282894736843,1,1
15485,22.37,8,85.27,1,-14,59,1,0.2623431453031547,1,1
61220,26.9,7,376.89,5,-8,27,0,0.07137361033723368,1,1
113653,17.51,8,127.5,5,-9,21,4,0.13733333333333334,1,1
3306,15.7,8,85.6,5,-11,26,4,0.18341121495327103,1,1
71177,17.51,3,127.41,5,-7,29,1,0.13743034298720666,1,1
6613,17.78,5,52.78,1,-7,40,0,0.33687002652519893,1,1
24138,17.78,4,47.68,1,-17,24,0,0.3729026845637584,1,1
62706,13.35,1,123.34,4,-8,17,1,0.1082373925733744,1,1
45160,20.14,2,140.11,4,-6,34,2,0.1437442009849404,1,1
110690,15.64,1,55.44,5,-12,27,3,0.28210678210678214,1,1
53059,20.8,1,33.02,5,-7,39,2,0.6299212598425197,1,1
